x_pos,y_pos,z_pos,x_angle,y_angle,x_target,y_target,z_target,playerBodyX,playerBodyY,playerBodyZ
59.37,7.99,40.34,342.38,-4.92,55.34472,8.909007,53.08806,343.760009765625,359.9242248535156,0.021817227825522423
55.94,9.25,52.26,23.03,8.22,63.7607,13.8081,70.15712,0.8911172151565552,344.2421569824219,349.68853759765625
57.12,16.29,65.35,32.68,12.57,152.7552,5.713706,225.1378,309.56689453125,308.8313903808594,3.896498203277588
46.62,37.71,73.61,60.15,-2.68,138.7966,18.25766,125.8522,330.7424621582031,297.08746337890625,358.3916015625
46.77,40.11,73.87,5.95,19.62,45.51656,40.13115,92.00011,235.833251953125,2.328190803527832,34.70320129394531
31.63,11.54,53.98,354.81,27.98,30.24049,18.27889,62.47101,280.24652099609375,5.741639614105225,34.033451080322266
10.44,8.26,58.68,7.46,6.88,14.11604,12.96592,91.46048,301.6370544433594,3.2116196155548096,6.7075910568237305
0.0,8.08,69.93,17.87,2.52,6.053508,10.61055,89.78429,286.08233642578125,359.9300231933594,3.648007869720459
0.0,8.12,74.97,90.19,0.93,9.364334,10.30975,75.17183,326.5966491699219,0.8848647475242615,4.687611103057861
0.0,8.86,95.07,109.8,12.41,9.253953,13.0235,91.69504,320.8822326660156,7.622661113739014,11.982725143432617
